description,location,date,bedroom,bathroom,price
4 bedroom terraced duplex for sale,"  Montego Garden Estate, Lekki, Lagos",Added on 04 Apr 2020,4,5,"30,000,000"
?,"  Montego Garden Estate, Lekki, Lagos",?,4,5,"30,000,000"
4 bedroom terraced duplex for sale,"  Montego Garden Estate, Ajah, Lagos",Added on 04 Apr 2020,4,5,"31,000,000"
5 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added Yesterday,5,5,"110,000,000"
5 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added Yesterday,5,5,"100,000,000"
3 bedroom terraced duplex for sale,"  Chevron Toll Orchid Road, Lafiaji, Lekki, Lagos",Added on 05 Apr 2020,3,4,"43,000,000"
4 bedroom block of flats for sale,"  Off Bourdillion Road, Old Ikoyi, Ikoyi, Lagos",Added on 29 Aug 2020,4,4,"200,000,000"
5 bedroom detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 07 Apr 2020,5,6,"95,000,000"
3 bedroom block of flats for sale,"  Ikate Elegushi, Lekki Phase 1, Lekki, Lagos",Added Yesterday,3,3,"35,000,000"
4 bedroom semi-detached duplex for sale,"  Ologolo, After Osapa London Before Chevron, Lekki, Lagos",Added on 29 Aug 2020,4,4,"45,000,000"
3 bedroom detached bungalow for sale,"  Kuje, Abuja",Added on 29 Aug 2020,3,3,"13,000,000"
4 bedroom semi-detached duplex for sale,"  Ikota, After Chevron Toll Gate, Lekki Expressway, Lekki, Lagos",Added on 29 Aug 2020,4,5,"65,000,000"
4 bedroom house for sale,"  Olive Estate Adetokun Off Ologuneru Road Ibadan, Ido, Ido, Oyo",Added on 29 Aug 2020,4,4,"7,500,000"
?,,?,,,
4 bedroom semi-detached duplex for sale,"  Orchid Road, Lafiaji, Lekki, Lagos",Added on 20 Jul 2020,4,4,"55,000,000"
4 bedroom terraced duplex for sale,"  Beside Vgc Estate,, VGC, Lekki, Lagos",Added on 29 Aug 2020,4,5,"40,000,000"
3 bedroom terraced duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 29 Aug 2020,3,5,"80,000,000"
5 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 26 Aug 2020,5,5,"110,000,000"
16 bedroom block of flats for sale,"  Akesan, Lasu Isheri Expressway, Igando, Ikotun, Lagos",Added on 29 Aug 2020,16,16,"28,000,000"
5 bedroom semi-detached duplex for sale,"  Close To Onikoyi, Parkview, Ikoyi, Lagos",Added on 29 Aug 2020,5,5,"185,000,000"
4 bedroom semi-detached duplex for sale,"  Earl's Court Estate, Opposite Nike Art Gallery., Lekki Phase 1, Lekki, Lagos",Added on 20 May 2020,4,4,"125,000,000"
5 bedroom detached duplex for sale,"  Pinnock Beach Estate, Osapa, Lekki, Lagos",Added on 01 Jul 2020,5,5,"290,000,000"
5 bedroom detached duplex for sale,"  Chevron, Lekki Phase 2, Lekki, Lagos",Added Yesterday,5,6,"120,000,000"
5 bedroom detached duplex for sale,"  Chevron, Lekki Phase 2, Lekki, Lagos",Added Yesterday,5,6,"95,000,000"
?,"  Chevron, Lekki Phase 2, Lekki, Lagos",?,5,6,"95,000,000"
4 bedroom semi-detached bungalow for sale,"  Idado, Lekki, Lagos",Added Yesterday,4,5,"60,000,000"
4 bedroom block of flats for sale,"  Beside Jericho Nursing Home, Jericho, Ibadan, Oyo",Added on 24 Jul 2020,4,4,"125,000,000"
4 bedroom block of flats for sale,"  Shobayo Street, Ilupeju, Lagos",Added on 24 Mar 2020,4,2,"42,000,000"
4 bedroom semi-detached duplex for sale,"  Victoria Bay 2 Estate, Osapa, Lekki, Lagos",Added on 19 Aug 2020,4,4,"70,000,000"
3 bedroom detached bungalow for sale,"  Peace Estate Command, Ipaja, Lagos",Added on 06 Aug 2020,3,4,"14,000,000"
3 bedroom detached bungalow for sale,"  Ipaja Round About, Boys Town, Ipaja, Lagos",Added on 30 Jul 2020,3,3,"8,500,000"
6 bedroom detached bungalow for sale,"  Ijaiye, Lagos",Added on 30 Jul 2020,6,5,"15,000,000"
5 bedroom detached duplex for sale,"  Magodo Gra Phase 2 Off Cmd Road., GRA, Magodo, Lagos",Added on 02 Aug 2020,5,5,"137,000,000"
4 bedroom detached duplex for sale,"  GRA, Magodo, Lagos",Added Yesterday,4,5,"100,000,000"
5 bedroom detached duplex for sale,"  Nicon Town Estate, Off Lekki Epe Express, Nicon Town, Lekki, Lagos",Added on 29 Aug 2020,5,5,"380,000,000"
4 bedroom detached duplex for sale,"  Off Birabi Street, GRA Phase 1, Port Harcourt, Rivers",Added on 29 Aug 2020,4,5,"160,000,000"
?,,?,,,
4 bedroom terraced duplex for sale,"  Sapata Road- Applewood3 Estate, VGC, Lekki, Lagos",Added on 15 May 2020,4,,"40,000,000"
5 bedroom detached duplex for sale,"  White House, Ekoro, Alimosho, Lagos",Added on 30 Jul 2020,5,4,"28,000,000"
3 bedroom detached bungalow for sale,"  Ikola Road, Ipaja, Lagos",Added on 30 Jul 2020,3,3,"14,000,000"
3 bedroom detached bungalow for sale,"  Command, Ipaja, Lagos",Added on 30 Jul 2020,3,2,"13,000,000"
4 bedroom detached bungalow for sale,"  Ajala Area, Ijaiye, Lagos",Added on 30 Jul 2020,4,3,"13,000,000"
6 bedroom detached bungalow for sale,"  Area 1 Estate, Ijaiye, Lagos",Added on 30 Jul 2020,6,5,"14,000,000"
Block of flats for sale,"  Addo Road, Ajah, Lagos",Added on 29 Aug 2020,6,5,"185,000,000"
5 bedroom semi-detached duplex for sale,"  Atican Beachview Estate, Abraham Adesanya, Okun Ajah, Lekki Phase 2, Lekki, Lagos",Added on 29 Aug 2020,5,7,"33,000,000"
3 bedroom detached bungalow for sale,"  Alafia Estate, Apata, Ibadan, Oyo",Added on 29 Aug 2020,3,4,"23,000,000"
4 bedroom semi-detached duplex for sale,"  Creek Avenue Court Phase 1, Ikota, Lekki, Lagos",Added on 29 Aug 2020,4,5,"45,000,000"
?,"  Creek Avenue Court Phase 1, Ikota, Lekki, Lagos",?,4,5,"45,000,000"
4 bedroom semi-detached duplex for sale,"  By Novare Mall, Shoprite, Sangotedo, Ajah, Lagos",Added on 29 Aug 2020,4,5,"26,000,000"
4 bedroom semi-detached duplex for sale,"  Located At Chevron Alternative Drive, Well Serviced Estate, Eden Court, Lekki Phase 1, Lekki, Lagos",Added on 19 Aug 2020,4,6,"59,000,000"
4 bedroom detached duplex for sale,"  Amity Estate. Sangotedo, Lekki, Lagos",Added on 01 May 2020,4,6,"51,000,000"
5 bedroom detached duplex for sale,"  2nd Toll Gate, Lekki, Lagos",Added on 29 Aug 2020,5,5,"290,000,000"
4 bedroom semi-detached bungalow for sale,"  Chevron, Lekki, Lagos",Added on 29 Aug 2020,4,4,"65,000,000"
4 bedroom semi-detached duplex for sale,"  Richmond Estate Road, Beside Meadow Hall School. Bella Court., Ikate Elegushi, Lekki, Lagos",Added on 29 Aug 2020,4,4,"53,500,000"
2 bedroom block of flats for sale,"  By The Prestigious Richmond Estate Road, Beside Meadow Hall School., Ikate, Lekki, Lagos",Added on 29 Aug 2020,2,2,"32,000,000"
5 bedroom detached duplex for sale,"  Opic, Isheri North, Lagos",Added on 29 Aug 2020,5,5,"115,000,000"
3 bedroom block of flats for sale,"  Omole Phase 2, Ikeja, Lagos",Added on 29 Aug 2020,3,3,"130,000,000"
3 bedroom semi-detached duplex for sale,"  By 2nd Toll Gate, Lekki Expressway, Lekki, Lagos",Added on 29 Aug 2020,3,3,"38,000,000"
3 bedroom semi-detached duplex for sale,"  Amity Estate, Sangotedo, Lekki Phase 2, Lekki, Lagos",Added on 29 Aug 2020,3,4,"30,000,000"
?,,?,,,
4 bedroom semi-detached duplex for sale,"  Bera Estate Off Chevron Drive, Lekki Expressway, Lekki, Lagos",Added on 15 Aug 2020,4,4,"45,000,000"
5 bedroom terraced duplex for sale,"  By The Prestigious Richmond Estate Road, Beside Meadow Hall School, Ikate Elegushi, Lekki, Lagos",Added on 29 Aug 2020,5,5,"57,000,000"
5 bedroom detached duplex for sale,"  Omole Phase 1, Ikeja, Lagos",Added on 29 Aug 2020,5,5,"140,000,000"
3 bedroom terraced duplex for sale,"  Badore, Ajah, Lagos",Added on 19 Aug 2020,3,4,"27,000,000"
4 bedroom semi-detached duplex for sale,"  GRA, Magodo, Lagos",Added on 29 Aug 2020,4,4,"75,000,000"
5 bedroom detached duplex for sale,"  By Richmond Estate Road, Beside Meadow Hall School, Ikate Elegushi, Lekki, Lagos",Added on 29 Aug 2020,5,5,"80,000,000"
3 bedroom detached bungalow for sale,"  Orile Imo Around International Breweries Plc, Sagamu Interchange,, Mowe Ofada, Ogun",Added on 29 Aug 2020,3,3,"10,500,000"
4 bedroom terraced duplex for sale,"  Between Chevron And Vgc, After Chevron Toll Gate, Ikota, Lekki, Lagos",Added on 29 Aug 2020,4,4,"38,000,000"
2 bedroom block of flats for sale,"  2nd Toll Gate, Lekki Phase 1, Lekki, Lagos",Added on 29 Aug 2020,2,2,"25,000,000"
5 bedroom semi-detached duplex for sale,"  Ikoyi, Lagos",Added on 29 Aug 2020,5,5,"300,000,000"
?,"  Ikoyi, Lagos",?,5,5,"300,000,000"
4 bedroom detached duplex for sale,"  Off Admiraty, Lekki Phase 1, Lekki, Lagos",Added on 29 Aug 2020,4,5,"85,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron Drive., Lekki Phase 2, Lekki, Lagos",Added on 24 Aug 2020,4,5,"59,000,000"
4 bedroom detached duplex for sale,"  Behind Domino's Pizza,, Ologolo, Lekki, Lagos",Added on 07 Jul 2020,4,5,"55,000,000"
3 bedroom detached bungalow for sale,"  Rccg Redemption Camp, KM 46, Ogun",Added on 30 Jul 2020,3,3,"25,000,000"
4 bedroom detached duplex for sale,"  Industrial Layout, Owerri, Imo",Added on 29 Aug 2020,4,3,"65,000,000"
Detached duplex for sale,"  Hilltop Estate, Radio Off Awolowo Road, Itamaga, Ikorodu, Lagos",Added on 29 Aug 2020,4,3,"36,000,008"
4 bedroom detached duplex for sale,"  Okun Ajah, Off Abraham Adesanya Road, Ajah, Lagos",Added on 29 Aug 2020,4,5,"34,500,000"
5 bedroom terraced duplex for sale,"  Close To New Horizon Ii, Meadow Hall Way, Ikate Elegushi, Lekki, Lagos",Added on 21 Aug 2020,5,6,"57,000,000"
4 bedroom semi-detached duplex for sale,"  Chveron Drive, Lekki, Lagos",Added on 29 Aug 2020,4,5,"59,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron Drive, Lekki Phase 2, Lekki, Lagos",Added on 29 Aug 2020,4,4,"55,000,000"
4 bedroom semi-detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 29 Aug 2020,4,4,"35,000,000"
?,,?,,,
5 bedroom house for sale,"  Ikate, Lekki, Lagos",Added on 26 Aug 2020,5,6,"130,000,000"
4 bedroom semi-detached duplex for sale,"  Close To Chevron Toll Gate, Orchid Hotel Road, Lekki, Lagos",Added on 29 Aug 2020,4,6,"52,000,000"
4 bedroom semi-detached duplex for sale,"  Agungi, Lekki, Lagos",Added on 29 Aug 2020,4,4,"65,000,000"
4 bedroom terraced duplex for sale,"  Chevon Alternative, Ikota, Lekki, Lagos",Added on 29 Aug 2020,4,6,"38,000,000"
4 bedroom semi-detached duplex for sale,"  Ikoyi, Lagos",Added on 29 Aug 2020,4,4,"200,000,000"
4 bedroom terraced duplex for sale,"  3rd Roundabout Lekki - Epe Expressway, Lekki Phase 1, Lekki, Lagos",Added on 29 Aug 2020,4,4,"120,000,000"
3 bedroom semi-detached duplex for sale,"  Behind Filling Station, Ikate, Lekki, Lagos",Added on 29 Aug 2020,3,4,"44,000,000"
3 bedroom terraced duplex for sale,"  Awoyaya Beside Greenspring Schools, Ajah, Lagos",Added on 29 Aug 2020,3,5,"32,500,000"
4 bedroom semi-detached duplex for sale,"  Chevron Alternative, Ikota, Lekki, Lagos",Added on 29 Aug 2020,4,6,"45,000,000"
4 bedroom terraced duplex for sale,"  Between Chevron And Vgc, Ikota, Lekki, Lagos",Added on 29 Aug 2020,4,5,"38,000,000"
?,"  Between Chevron And Vgc, Ikota, Lekki, Lagos",?,4,5,"38,000,000"
2 bedroom block of flats for sale,"  Chveron Toll Gate, Orchid Hotel Road, Lekki, Lagos",Added on 29 Aug 2020,2,3,"25,000,000"
4 bedroom semi-detached duplex for sale,"  3rd Roundabout, Lekki Epe Expressway, Lekki Phase 1, Lekki, Lagos",Added on 29 Aug 2020,4,4,"150,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron Toll, Lekki Expressway, Lekki, Lagos",Added on 02 Jun 2020,4,5,"45,000,000"
4 bedroom terraced duplex for sale,"  Chevron, Lekki Expressway, Lekki, Lagos",Added on 15 Jul 2020,4,5,"42,000,000"
5 bedroom semi-detached duplex for sale,"  Cowrie Creek Estate, Ikate, Lekki, Lagos",Added Yesterday,5,6,"225,000,000"
5 bedroom detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 12 Feb 2020,5,6,"190,000,000"
4 bedroom semi-detached duplex for sale,"  Ikate, Lekki, Lagos",Added on 20 Aug 2020,4,4,"95,000,000"
3 bedroom terraced duplex for sale,"  Ikate, Lekki, Lagos",Added on 20 Aug 2020,3,3,"65,000,000"
5 bedroom terraced duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 20 Aug 2020,5,5,"130,000,000"
4 bedroom terraced duplex for sale,"  Ikate, Lekki, Lagos",Added on 19 Aug 2020,4,5,"75,000,000"
4 bedroom semi-detached duplex for sale,"  Idado, Lekki, Lagos",Added Today,4,5,"47,000,000"
?,,?,,,
4 bedroom semi-detached duplex for sale,"  Bera Estate Off Chevron Drive, Lekki Expressway, Lekki, Lagos",Added on 15 Aug 2020,4,4,"45,000,000"
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 24 Aug 2020,4,5,"53,000,000"
4 bedroom detached duplex for sale,"  Agungi, Lekki, Lagos",Added on 12 Jul 2020,4,5,"55,000,000"
4 bedroom terraced duplex for sale,"  Agungi, Lekki, Lagos",Added on 10 Jul 2020,4,5,"38,000,000"
4 bedroom terraced duplex for sale,"  Second Toll Gate, Lekki Phase 2, Lekki, Lagos",Added on 25 Aug 2020,4,4,"42,000,000"
4 bedroom semi-detached duplex for sale,"  Orchid Road, Lekki Phase 2, Lekki, Lagos",Added on 25 Aug 2020,4,4,"45,000,000"
4 bedroom semi-detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 13 Jun 2020,4,5,"45,000,000"
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added Today,4,4,"85,000,000"
5 bedroom detached duplex for sale,"  Chevy View Estate, Lekki Expressway, Lekki, Lagos",Added on 30 Jul 2020,5,6,"120,000,000"
5 bedroom detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 27 May 2020,5,6,"70,000,000"
?,"  Osapa, Lekki, Lagos",?,5,6,"70,000,000"
5 bedroom detached duplex for sale,"  Arcadia Grove Estate, Osapa, Lekki, Lagos",Added on 22 Jul 2020,5,5,"250,000,000"
5 bedroom detached duplex for sale,"  Pinnock Beach Estate, Osapa, Lekki, Lagos",Added on 10 Jun 2020,5,6,"250,000,000"
6 bedroom detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 04 Mar 2020,6,7,"99,000,000"
4 bedroom semi-detached duplex for sale,"  Lafiaji, Lekki, Lagos",Added on 20 Aug 2020,4,4,"52,000,000"
4 bedroom semi-detached duplex for sale,"  Lafiaji, Lekki, Lagos",Added on 20 Aug 2020,4,4,"55,000,000"
5 bedroom terraced duplex for sale,"  Abraham Adesanya, Lekki Phase 2, Lekki, Lagos",Added on 26 Aug 2020,5,5,"42,000,000"
4 bedroom terraced duplex for sale,"  Orchid Hotels Road, Lekki, Lagos",Added Today,4,5,"37,000,000"
5 bedroom detached duplex for sale,"  Lomalinda Extension., Enugu, Enugu",Added Today,5,5,"45,000,000"
4 bedroom terraced duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added Today,4,4,"140,000"
4 bedroom detached duplex for sale,"  2nd Toll Gate, Chevron, Lekki Phase 2, Lekki, Lagos",Added Today,4,4,"66,000,000"
4 bedroom terraced duplex for sale,"  Ikate, Lekki, Lagos",Added Today,4,4,"75,000,000"
?,,?,,,
6 bedroom detached duplex for sale,"  Chevy View Estate, Lekki, Lagos",Added on 18 Aug 2020,6,6,"90,000,000"
4 bedroom detached duplex for sale,"  Kuje, Off Airport Road, Kuje, Abuja",Added Today,4,5,"35,000,000"
3 bedroom semi-detached duplex for sale,"  2nd Toll Gate, Lekki Phase 2, Lekki, Lagos",Added Today,3,4,"40,000,000"
5 bedroom detached duplex for sale,"  Ikate, Lekki, Lagos",Added Today,5,5,"130,000,000"
5 bedroom terraced duplex for sale,"  Ikate, Lekki, Lagos",Added Today,5,5,"80,000,000"
4 bedroom semi-detached duplex for sale,"  River Park, Lugbe District, Abuja",Added on 12 Aug 2020,4,5,"75,000,000"
5 bedroom detached duplex for sale,"  Ikeja GRA, Ikeja, Lagos",Added Today,5,6,"250,000,000"
4 bedroom semi-detached duplex for sale,"  Ikota, Lekki, Lagos",Added Today,4,5,"57,000,000"
5 bedroom house for sale,"  Opebi, Ikeja, Lagos",Added Today,5,5,"80,000,000"
3 bedroom block of flats for sale,"  Oko Oba, Ifako-Ijaiye, Lagos",Added Today,3,2,"85,000,000"
?,"  Oko Oba, Ifako-Ijaiye, Lagos",?,3,2,"85,000,000"
4 bedroom detached duplex for sale,"  Magodo Gra Phase 2, Magodo, Lagos",Added Today,4,5,"65,000,000"
4 bedroom semi-detached duplex for sale,"  Off Adeniyi Jones, Adeniyi Jones, Ikeja, Lagos",Added Today,4,4,"45,000,000"
4 bedroom terraced duplex for sale,"  Opebi, Ikeja, Lagos",Added Today,4,5,"90,000,000"
4 bedroom detached duplex for sale,"  Ikoyi, Lagos",Added Today,4,5,"250,000,000"
4 bedroom detached duplex for sale,"  Beside Vgc, Ajah, Lekki, Lagos",Added Today,4,4,"50,000,000"
4 bedroom detached duplex for sale,"  Chevron, Lekki, Lagos",Added Today,4,4,"75,000,000"
4 bedroom house for sale,"  Behind Godab Estate, Life Camp, Abuja",Added on 28 Jul 2020,4,4,"60,000,000"
4 bedroom detached duplex for sale,"  Ikota Villa Estate, Ikota, Lekki, Lagos",Added Today,4,4,"36,000,000"
5 bedroom detached duplex for sale,"  Ikeja GRA, Ikeja, Lagos",Added Today,5,5,"180,000,000"
3 bedroom block of flats for sale,"  Ikeja GRA, Ikeja, Lagos",Added Today,3,3,"80,000,000"
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lagos",Added Today,5,3,"75,000,000"
?,,?,,,
6 bedroom detached duplex for sale,"  Chevy View Estate, Lekki, Lagos",Added on 18 Aug 2020,6,6,"90,000,000"
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",Added Today,4,4,"36,000,000"
5 bedroom detached duplex for sale,"  Omole Phase 1, Ikeja, Lagos",Added Today,5,5,"130,000,000"
3 bedroom terraced duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added Today,3,5,"67,000,000"
4 bedroom semi-detached duplex for sale,"  Ikoyi, Lekki, Lagos",Added Today,4,5,"200,000,000"
3 bedroom block of flats for sale,"  Off Allen Avenue, Allen, Ikeja, Lagos",Added Today,3,3,"250,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron, Lekki, Lagos",Added Today,4,3,"65,000,000"
4 bedroom terraced duplex for sale,"  Chevron, Lekki Phase 2, Lekki, Lagos",Added on 21 Aug 2020,4,4,"45,000,000"
4 bedroom detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 04 Mar 2020,4,5,"125,000,000"
7 bedroom detached duplex for sale,"  Vgc Estate, Lekki, Lagos",Added on 26 Jun 2020,7,7,"300,000,000"
?,"  Vgc Estate, Lekki, Lagos",?,7,7,"300,000,000"
5 bedroom terraced duplex for sale,"  Off Remi Olowude Street, Lekki Phase 1, Lekki, Lagos",Added on 15 Jul 2020,5,5,"120,000,000"
5 bedroom detached duplex for sale,"  2nd Toll Gate, Lekki, Lagos",Added Today,5,5,"75,000,000"
2 bedroom block of flats for sale,"  Abijo Gra, Ibeju Lekki, Lagos",Added Today,2,5,"25,000,000"
5 bedroom semi-detached duplex for sale,"  Ikoyi, Lagos",Added Today,5,5,"330,000,000"
4 bedroom semi-detached duplex for sale,"  Orchid Road, Lekki, Lagos",Added Today,4,4,"55,000,000"
2 bedroom block of flats for sale,"  By Chevron, Lekki, Lekki Phase 1, Lekki, Lagos",Added Today,2,2,"25,000,000"
4 bedroom detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 12 Apr 2019,4,4,"125,000,000"
