description,location,date,bedroom,bathroom,price
Semi-detached duplex for sale,"  2nd Toll Gate, Lekki, Lagos",Added on 29 Jul 2020,5,4,"55,000,000"
5 bedroom detached duplex for sale,"  Chevron, Lekki Phase 2, Lekki, Lagos",Added on 29 Jul 2020,5,5,"280,000,000"
5 bedroom detached duplex for sale,"  Chevron, Lekki Phase 2, Lekki, Lagos",Added on 29 Jul 2020,5,5,"120,000,000"
4 bedroom terraced duplex for sale,"  Off Orchid Hotel Road By Second Tollgate, Lafiaji, Lekki, Lagos",Added on 29 Jul 2020,4,4,"45,000,000"
5 bedroom detached duplex for sale,"  Chevron, Lekki Phase 2, Lekki, Lagos",Added on 29 Jul 2020,5,5,"80,000,000"
4 bedroom semi-detached duplex for sale,"  Off Orchid Hotel Road By Second Tollgate, Lafiaji, Lekki, Lagos",Added on 29 Jul 2020,4,4,"55,000,000"
?,"  Off Orchid Hotel Road By Second Tollgate, Lafiaji, Lekki, Lagos",?,4,4,"55,000,000"
4 bedroom terraced duplex for sale,"  Chevron, Lekki Phase 1, Lekki, Lagos",Added on 29 Jul 2020,4,4,"43,000,000"
5 bedroom semi-detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 29 Jul 2020,5,5,"50,000,000"
5 bedroom detached duplex for sale,"  Wuse 2, Abuja",Added on 29 Jul 2020,5,6,"270,000,000"
4 bedroom detached duplex for sale,"  Devine Homes, Thomas Estate., Sangotedo, Ajah, Lagos",Added on 29 Jul 2020,4,4,"50,000,000"
4 bedroom terraced duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 29 Jul 2020,4,4,"100,000,000"
7 bedroom terraced duplex for sale,"  Guzape District, Abuja",Added on 29 Jul 2020,7,7,"85,000,000"
5 bedroom detached duplex for sale,"  Off Orchid Hotel Road By Second Tollgate, Lafiaji, Lekki, Lagos",Added on 29 Jul 2020,5,5,"67,000,000"
5 bedroom detached duplex for sale,"  Chevy View Off Chevron, Igbo Efon, Lekki, Lagos",Added on 29 Jul 2020,5,5,"130,000,000"
3 bedroom detached duplex for sale,"  GRA, Magodo, Lagos",Added on 15 Jul 2020,3,3,"105,000,000"
4 bedroom semi-detached duplex for sale,"  Off Orchid Hotel Road By Second Tollgate, Lafiaji, Lekki, Lagos",Added on 29 Jul 2020,4,4,"65,000,000"
5 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 29 Jul 2020,5,4,"69,900,000"
?,,?,,,
4 bedroom terraced duplex for sale,"  Sapata Road- Applewood3 Estate, VGC, Lekki, Lagos",Added on 15 May 2020,4,,"40,000,000"
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 29 Jul 2020,4,,"55,000,000"
5 bedroom detached duplex for sale,"  2nd Toll Gate, Lekki, Lagos",Added on 29 Jul 2020,5,,"65,000,000"
4 bedroom terraced duplex for sale,"  2nd Toll Gate, Lekki, Lagos",Added on 29 Jul 2020,4,,"37,000,000"
4 bedroom terraced duplex for sale,"  Lekki County, Lekki, Lagos",Added on 29 Jul 2020,4,,"35,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron, Lekki, Lagos",Added on 29 Jul 2020,4,,"80,000,000"
4 bedroom semi-detached duplex for sale,"  Lekki County, Lekki, Lagos",Added on 29 Jul 2020,4,,"60,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron, Lekki, Lagos",Added on 29 Jul 2020,4,,"55,000,000"
4 bedroom house for sale,"  Omole Phase 2, Ikeja, Lagos",Added on 29 Jul 2020,4,4,"70,000,000"
4 bedroom detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 29 Jul 2020,4,5,"275,000,000"
?,"  Osapa, Lekki, Lagos",?,4,5,"275,000,000"
4 bedroom terraced bungalow for sale,"  Mobil Prototype Housing, Abule-Ado, Amuwo Odofin, Lagos",Added on 29 Jul 2020,4,3,"25,000,000"
4 bedroom terraced duplex for sale,"  Spg Road, Lekki, Lagos",Added on 29 Jul 2020,4,4,"55,000,000"
4 bedroom terraced duplex for sale,"  Chevron Drive, Lekki, Lagos",Added on 29 Jul 2020,4,4,"49,000,000"
5 bedroom detached duplex for sale,"  2nd Toll Gate, Lekki Phase 2, Lekki, Lagos",Added on 29 Jul 2020,5,4,"75,000,000"
4 bedroom detached duplex for sale,"  Located After The Second Toll Gate, Creek Avenue Court, Ikota, Lekki, Lagos",Added on 29 Jul 2020,4,6,"63,000,000"
3 bedroom detached duplex for sale,"  Atan Nla, Ipaja, Ayobo, Lagos",Added on 29 Jul 2020,3,3,"18,000,000"
5 bedroom detached duplex for sale,"  Pinnock Beach, Osapa London, Lekki-epe Expressway, Epe, Lagos",Added on 29 Jul 2020,5,5,"350,000,000"
5 bedroom detached duplex for sale,"  Efab Metropolis, Karasana, Gwarinpa, Abuja",Added on 29 Jul 2020,5,5,"100,000,000"
5 bedroom detached duplex for sale,"  Off Yakubu Gowon Way, Asokoro District, Abuja",Added on 28 Jul 2020,5,10,"350,000,000"
5 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 20 Jun 2020,5,5,"90,000,000"
4 bedroom terraced duplex for sale,"  Gated Estate, Ikota, Lekki, Lagos",Added on 08 May 2020,4,4,"35,000,000"
?,,?,,,
4 bedroom semi-detached duplex for sale,"  Earl's Court Estate, Lekki Phase 1, Lekki, Lagos",Added on 12 Nov 2019,4,4,"119,000,000"
4 bedroom terraced duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 28 Jul 2020,4,4,"135,000,000"
5 bedroom detached duplex for sale,"  Trans Ekulu, Enugu, Enugu",Added on 28 Jul 2020,5,4,"32,000,000"
5 bedroom detached duplex for sale,"  Chevron Alternative Route, Lekki Phase 2, Lekki, Lagos",Added on 28 Jul 2020,5,5,"65,000,000"
5 bedroom semi-detached duplex for sale,"  Megamound Estate, Lekki County., Lekki, Lagos",Added on 28 Jul 2020,5,5,"80,000,000"
7 bedroom detached duplex for sale,"  Grace Anjouis Street, Lekki Phase 1, Lekki, Lagos",Added on 28 Jul 2020,7,7,"270,000,000"
18 bedroom block of flats for sale,"  Abraham Adesanya Roundabout, Ajiwe, Ajah, Lagos",Added on 28 Jul 2020,18,18,"100,000,000"
4 bedroom detached duplex for sale,"  Banana Island, Ikoyi, Lagos",Added on 28 Jul 2020,4,4,"260,000,000"
4 bedroom terraced duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 28 Jul 2020,4,4,"115,000,000"
5 bedroom detached duplex for sale,"  Shoreline Estate, Banana Island Road, Ikoyi, Lagos",Added on 28 Jul 2020,5,5,"470,000,000"
?,"  Shoreline Estate, Banana Island Road, Ikoyi, Lagos",?,5,5,"470,000,000"
4 bedroom detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 11 May 2020,4,5,"80,000,000"
House for sale,"  Banana Island, Banana Island, Ikoyi, Lagos",Added on 15 Mar 2020,4,5,"2,000,000,000"
5 bedroom semi-detached duplex for sale,"  Banana Island, Ikoyi, Lagos",Added on 28 Mar 2020,5,5,"450,000,000"
4 bedroom semi-detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 28 Jul 2020,4,5,"53,000,000"
4 bedroom semi-detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 28 Jul 2020,4,5,"48,000,000"
4 bedroom detached duplex for sale,"  Ebute, Ikorodu, Lagos",Added on 28 Jul 2020,4,6,"32,000,000"
4 bedroom terraced duplex for sale,"  Orchid Road, Ikota, Lekki, Lagos",Added on 02 Jul 2020,4,4,"40,000,000"
5 bedroom detached duplex for sale,"  Pinnock Beach Estate, Lekki, Lagos",Added on 28 Jul 2020,5,5,"170,000,000"
5 bedroom detached duplex for sale,"  Pinnock Beach Estate, Lekki, Lagos",Added on 28 Jul 2020,5,5,"160,000,000"
5 bedroom house for sale,"  Orchid Road, Lekki, Lagos",Added on 28 Jul 2020,5,5,"90,000,000"
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 28 Jul 2020,4,5,"62,000,000"
?,,?,,,
4 bedroom terraced duplex for sale,"  Chevron, Lekki Expressway, Lekki, Lagos",Added on 28 Feb 2020,4,4,"55,000,000"
3 bedroom terraced duplex for sale,"  Ikota, Lekki, Lagos",Added on 28 Jul 2020,3,3,"38,000,000"
12 bedroom block of flats for sale,"  Oke Afa, Isolo, Lagos",Added on 28 Jul 2020,12,12,"140,000,000"
5 bedroom semi-detached duplex for sale,"  Dasiy Street, Peninsula Estate, Sangotedo, Ajah, Lagos",Added on 28 Jul 2020,5,5,"55,000,000"
3 bedroom terraced duplex for sale,"  Chevron, Lekki, Lagos",Added on 28 Jul 2020,3,4,"35,000,000"
4 bedroom house for sale,"  Conservation Estate, Opposite Chevron Lekki., Lekki, Lagos",Added on 28 Jul 2020,4,4,"50,000,000"
4 bedroom terraced duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 28 Jul 2020,4,4,"100,000,000"
4 bedroom terraced duplex for sale,"  Ikate Elegushi, Lekki, Lagos",Added on 28 Jul 2020,4,4,"65,000,000"
4 bedroom house for sale,"  Off Mobil Road, Ajah, Lagos",Added on 28 Jul 2020,4,4,"45,000,000"
4 bedroom detached duplex for sale,"  Chevron Alternative Route, Lekki Expressway, Lekki, Lagos",Added on 28 Jul 2020,4,4,"55,000,000"
?,"  Chevron Alternative Route, Lekki Expressway, Lekki, Lagos",?,4,4,"55,000,000"
4 bedroom detached duplex for sale,"  Fidelity Estate, GRA, Enugu, Enugu",Added on 28 Jul 2020,4,4,"93,000,000"
4 bedroom terraced duplex for sale,"  Oyadiran Estate, Sabo, Yaba, Lagos",Added on 28 Jul 2020,4,5,"45,000,000"
4 bedroom semi-detached duplex for sale,"  Ikota Gra By Mega Chicken Entrance, Ikota, Lekki, Lagos",Added on 28 Jul 2020,4,4,"45,000,000"
4 bedroom detached duplex for sale,"  Ikota Villa Estate, Lekki Expressway, Lekki, Lagos",Added on 28 Jul 2020,4,5,"55,000,000"
3 bedroom detached bungalow for sale,"  Abraham Adesanya Estate, Ajah, Lagos",Added on 28 Jul 2020,3,3,"25,000,000"
7 bedroom detached duplex for sale,"  Ipaja, Ayobo, Lagos",Added on 28 Jul 2020,7,5,"35,000,000"
4 bedroom terraced duplex for sale,"  Ikota, Lekki, Lagos",Added on 28 Jul 2020,4,5,"40,000,000"
4 bedroom semi-detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 28 Jul 2020,4,4,"65,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron Alternative Route, Lekki Expressway, Lekki, Lagos",Added on 28 Jul 2020,4,4,"48,000,000"
5 bedroom detached duplex for sale,"  2nd Toll Gate, Lekki Expressway, Lekki, Lagos",Added on 28 Jul 2020,5,4,"120,000,000"
5 bedroom detached duplex for sale,"  Ikate Elegushi, Lekki, Lagos",Added on 28 Jul 2020,5,5,"130,000,000"
?,,?,,,
4 bedroom semi-detached duplex for sale,"  Earl's Court Estate, Lekki Phase 1, Lekki, Lagos",Added on 12 Nov 2019,4,4,"119,000,000"
4 bedroom detached bungalow for sale,"  Shelter Afrique Estate, Uyo, Akwa Ibom",Added on 28 Jul 2020,4,4,"15,000,000"
5 bedroom semi-detached bungalow for sale,"  Wuse, Abuja",Added on 26 Jul 2020,5,4,"120,000,000"
4 bedroom detached duplex for sale,"  Orchid Hotel Road, Lekki Phase 1, Lekki, Lagos",Added on 28 Jul 2020,4,4,"53,000,000"
5 bedroom detached duplex for sale,"  Chevron Alternative Route Chevron, Lekki Expressway, Lekki, Lagos",Added on 28 Jul 2020,5,5,"75,000,000"
3 bedroom detached bungalow for sale,"  Maccido Royal Estate, Galadimawa, Abuja",Added on 28 Jul 2020,3,5,"45,000,000"
3 bedroom detached bungalow for sale,"  New Haven Extension, New Haven, Enugu, Enugu",Added on 28 Jul 2020,3,5,"30,000,000"
4 bedroom terraced duplex for sale,"  Ikate Elegushi, Lekki, Lagos",Added on 28 Jul 2020,4,4,"79,000,000"
8 bedroom semi-detached duplex for sale,"  1 Amazon Street, Maitama District, Abuja",Added on 28 Jul 2020,8,8,"500,000,000"
5 bedroom detached duplex for sale,"  Ikate Elegushi, Lekki, Lagos",Added on 28 Jul 2020,5,5,"87,000,000"
?,"  Ikate Elegushi, Lekki, Lagos",?,5,5,"87,000,000"
5 bedroom detached duplex for sale,"  By Orchid Hotel Road, Lekki Phase 1, Lekki, Lagos",Added on 28 Jul 2020,5,5,"56,000,000"
5 bedroom detached duplex for sale,"  Osapa London, Osapa, Lekki, Lagos",Added on 28 Jul 2020,5,5,"106,000,000"
4 bedroom detached duplex for sale,"  Off Orchid Hotel Road, Lekki Phase 1, Lekki, Lagos",Added on 28 Jul 2020,4,4,"55,000,000"
2 bedroom house for sale,"  Origanrigan, Ibeju Lekki, Lagos",Added on 28 Jul 2020,2,2,"500,000"
5 bedroom detached duplex for sale,"  Osapa London, Osapa, Lekki, Lagos",Added on 28 Jul 2020,5,5,"96,000,000"
4 bedroom detached duplex for sale,"  Off Orchid Hotel Road, Lekki Phase 1, Lekki, Lagos",Added on 28 Jul 2020,4,4,"57,000,000"
4 bedroom terraced duplex for sale,"  Orchid Road, Ologolo, Lekki, Lagos",Added on 28 Jul 2020,4,4,"45,000,000"
3 bedroom terraced duplex for sale,"  Lekki Gardens Horizon Along Kushenla Rd, Ikate Elegushi, Lekki, Lagos",Added on 19 Mar 2020,3,3,"35,000,000"
2 bedroom terraced duplex for sale,"  The Vault, Eleko, Ibeju Lekki, Lagos",Added on 28 Jul 2020,2,2,"17,000,000"
5 bedroom detached duplex for sale,"  Ikate Elegushi, Ikate, Lekki, Lagos",Added on 28 Jul 2020,5,5,"130,000,000"
5 bedroom detached duplex for sale,"  Ikate Elegushi, Ikate, Lekki, Lagos",Added on 28 Jul 2020,5,5,"87,000,000"
?,,?,,,
4 bedroom terraced duplex for sale,"  Behind Minister's Quarters, Opposite Mobil, Mabuchi, Abuja",Added on 27 Oct 2019,4,4,"54,000,000"
5 bedroom detached duplex for sale,"  Thomas Estate, Ajah, Lagos",Added on 10 Jul 2020,5,6,"52,000,000"
4 bedroom semi-detached duplex for sale,"  Ajah, Lagos",Added on 10 Jul 2020,4,5,"38,000,000"
5 bedroom detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 13 Jul 2020,5,6,"250,000,000"
5 bedroom detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 28 Jul 2020,5,5,"105,000,000"
4 bedroom semi-detached duplex for sale,"  Orchid Road., Lekki, Lagos",Added on 15 Jul 2020,4,5,"50,000,000"
5 bedroom detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 28 Jul 2020,5,5,"95,000,000"
5 bedroom detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 28 Jul 2020,5,5,"96,000,000"
2 bedroom block of flats for sale,"  Regent Park, Awoyaya, Abijo, Lekki, Lagos",Added on 05 Jul 2020,2,2,"15,000,000"
5 bedroom semi-detached duplex for sale,"  Behind Blenco Supermarket, Olokonla, Ajah, Lagos",Added on 28 Jul 2020,5,5,"48,000,000"
?,"  Behind Blenco Supermarket, Olokonla, Ajah, Lagos",?,5,5,"48,000,000"
5 bedroom detached duplex for sale,"  Osapa London Estate, Osapa, Lekki, Lagos",Added on 28 Jul 2020,5,5,"105,000,000"
5 bedroom detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 28 Jul 2020,5,5,"96,000,000"
5 bedroom detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 28 Jul 2020,5,5,"106,000,000"
4 bedroom terraced duplex for sale,"  Lekki Phase 1, Ikate Elegushi, Lekki, Lagos",Added on 28 Jul 2020,4,6,"75,000,000"
5 bedroom detached duplex for sale,"  Jabi, Airport Road, Mbora (Nbora), Abuja",Added on 28 Jul 2020,5,6,"120,000,000"
4 bedroom semi-detached duplex for sale,"  Omole Phase 2, Ikeja, Lagos",Added on 28 Jul 2020,4,6,"70,000,000"
5 bedroom detached duplex for sale,"  Ikate Elegushi, Lekki, Lagos",Added on 28 Jul 2020,5,5,"130,000,000"
4 bedroom detached duplex for sale,"  Jabi, Airport Road, Mbora (Nbora), Abuja",Added on 28 Jul 2020,4,5,"80,000,000"
4 bedroom terraced duplex for sale,"  Jabi Airport Road, Mbora (Nbora), Abuja",Added on 28 Jul 2020,4,5,"60,000,000"
3 bedroom block of flats for sale,"  Jabi, Airport Road, Mbora (Nbora), Abuja",Added on 28 Jul 2020,3,5,"30,000,000"
2 bedroom block of flats for sale,"  Jabi, Airport Road, Mbora (Nbora), Abuja",Added on 28 Jul 2020,2,5,"20,000,000"
?,,?,,,
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 20 Jul 2020,4,4,"120,000,000"
5 bedroom detached duplex for sale,"  Ikate Elegushi, Lekki, Lagos",Added on 28 Jul 2020,5,5,"87,000,000"
5 bedroom detached duplex for sale,"  Ikate Elegushi, Lekki, Lagos",Added on 28 Jul 2020,5,5,"97,000,000"
3 bedroom semi-detached duplex for sale,"  Bogije, Ibeju Lekki, Lagos",Added on 28 Jul 2020,3,4,"27,000,000"
5 bedroom detached duplex for sale,"  Thomas Estate, Ajiwe, Ajah, Lagos",Added on 28 Jul 2020,5,5,"67,000,000"
4 bedroom terraced duplex for sale,"  Ikate Elegushi, Lekki, Lagos",Added on 28 Jul 2020,4,4,"79,000,000"
3 bedroom detached duplex for sale,"  3rd Street, Nigeria Airforce Unity Estate., Kuje, Abuja",Added on 28 Jul 2020,3,4,"13,000,000"
4 bedroom detached duplex for sale,"  Ikate Elegushi, Lekki, Lagos",Added on 28 Jul 2020,4,4,"130,000,000"
4 bedroom semi-detached duplex for sale,"  Ologolo, Lekki, Lagos",Added on 28 Jul 2020,4,4,"65,000,000"
6 bedroom semi-detached duplex for sale,"  Elepe, Along Ijede Road, Ikorodu, Lagos",Added on 29 May 2020,6,6,"45,000,000"
?,"  Elepe, Along Ijede Road, Ikorodu, Lagos",?,6,6,"45,000,000"
4 bedroom detached duplex for sale,"  Off Visa Centre, Lekki Phase 1, Lekki, Lagos",Added on 28 Jul 2020,4,4,"120,000,000"
5 bedroom detached duplex for sale,"  Ikate Elegushi, Lekki, Lagos",Added on 28 Jul 2020,5,4,"135,000,000"
House for sale,"  Futo, Ihiagwa, Owerri, Imo",Added on 25 Jun 2020,5,4,"110,000,000"
4 bedroom detached duplex for sale,"  Doxa, Off Peter Odili Road, Port Harcourt, Rivers",Added on 15 Jul 2020,4,5,"85,000,000"
4 bedroom semi-detached duplex for sale,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Added on 28 Jul 2020,4,4,"120,000,000"
5 bedroom detached duplex for sale,"  Behind Blenco, Sangotedo, Ajah, Lagos",Added on 28 Jul 2020,5,4,"50,000,000"
4 bedroom terraced duplex for sale,"  By 2nd Toll Gate, Lekki Phase 2, Lekki, Lagos",Added on 28 Jul 2020,4,4,"42,000,000"
5 bedroom detached duplex for sale,"  Aiguobasimwin Street, G.r.a, Benin, Oredo, Edo",Added on 28 Jul 2020,5,5,"280,000,000"
5 bedroom detached duplex for sale,"  Guzape District, Abuja",Added on 28 Jul 2020,5,5,"150,000,000"
4 bedroom detached bungalow for sale,"  Off Bode Thomas, Bode Thomas, Surulere, Lagos",Added on 19 Jun 2020,4,3,"75,000,000"
3 bedroom detached bungalow for sale,"  Abraham Adesanya Estate, Ogombo, Ajah, Lagos",Added on 27 Jul 2020,3,3,"37,000,000"
?,,?,,,
20 bedroom terraced duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 15 Aug 2020,20,4,"100,000,000"
4 bedroom terraced duplex for sale,"  Eden's Court, Chevron Drive, Lekki Phase 2, Lekki, Lagos",Added on 27 Jul 2020,4,4,"50,000,000"
56 bedroom house for sale,"  Ita Oluwo, Ikorodu, Lagos",Added on 02 Jul 2020,56,8,"22,000,000"
4 bedroom detached duplex for sale,"  Glass House Estate, Simawa, Ogun",Added on 27 Jul 2020,4,5,"80,000,000"
5 bedroom house for sale,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos",Added on 27 Jul 2020,5,5,"200,000,000"
4 bedroom detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 27 Jul 2020,4,5,"110,000,000"
4 bedroom semi-detached duplex for sale,"  City View Estate, Berger, Arepo, Ogun",Added on 27 Jul 2020,4,5,"45,000,000"
4 bedroom semi-detached duplex for sale,"  Alperton Estate, Osapa, Lekki, Lagos",Added on 12 Jul 2020,4,4,"79,000,000"
4 bedroom semi-detached duplex for sale,"  Second Lekki Toll Gate, Chevron, Lekki, Lagos",Added on 27 Jul 2020,4,4,"55,000,000"
4 bedroom semi-detached duplex for sale,"  2nd Toll Gate, Lekki, Lagos",Added on 27 Jul 2020,4,4,"59,500,000"
?,"  2nd Toll Gate, Lekki, Lagos",?,4,4,"59,500,000"
3 bedroom block of flats for sale,"  Mukandasi Street Off Ago Palace Way Okota, Ago Palace, Isolo, Lagos",Added on 27 Jul 2020,3,3,"50,000,000"
5 bedroom detached duplex for sale,"  C Zone Nicon Town Estate, Jakande, Lekki, Lagos",Added on 27 Jul 2020,5,3,"400,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron Drive, Lekki Expressway, Lekki, Lagos",Added on 29 Jun 2020,4,3,"45,000,000"
4 bedroom terraced duplex for sale,"  Agungi, Lekki, Lagos",Added on 27 Jul 2020,4,4,"42,000,000"
5 bedroom semi-detached duplex for sale,"  Osapa London, Osapa, Lekki, Lagos",Added on 27 Jul 2020,5,5,"80,000,000"
3 bedroom block of flats for sale,"  Peaceville Estate, Badore, Ajah, Lagos",Added on 27 Jul 2020,3,3,"80,000,000"
3 bedroom detached bungalow for sale,"  Thomas Estate, Ajah, Lagos",Added on 27 Jul 2020,3,3,"35,000,000"
3 bedroom terraced duplex for sale,"  Lekki Phase 2, Lekki, Lagos",Added on 27 Jul 2020,3,3,"41,000,000"
4 bedroom detached duplex for sale,"  Peace Estate By Shoprite, Sangotedo, Ajah, Lagos",Added on 27 Jul 2020,4,4,"60,000,000"
4 bedroom terraced duplex for sale,"  Guzape District, Abuja",Added on 27 Jul 2020,4,5,"350,000,000"
5 bedroom detached duplex for sale,"  Pinnock Beach Estate, Lekki, Lagos",Added on 27 Jul 2020,5,5,"150,000,000"
?,,?,,,
3 bedroom semi-detached duplex for sale,"  Vantage Court, Bogije, Ibeju Lekki, Lagos",Added on 12 Aug 2020,3,4,"26,500,000"
5 bedroom terraced duplex for sale,"  Green Park Scheme, Abijo, Lekki, Lagos",Added on 27 Jul 2020,5,4,"37,000,000"
5 bedroom detached duplex for sale,"  Orchid Hotel Road, Chevron, Lafiaji, Lekki, Lagos",Added on 27 Jul 2020,5,5,"69,999,999"
6 bedroom detached duplex for sale,"  Pinnock Beach Estate, Lekki, Lagos",Added on 27 Jul 2020,6,6,"270,000,000"
5 bedroom detached duplex for sale,"  Pinnock Beach Estate, Lekki, Lagos",Added on 27 Jul 2020,5,5,"160,000,000"
4 bedroom detached duplex for sale,"  Divine Homes Estate, Thomas Estate, Ajah, Lagos",Added on 27 Jul 2020,4,4,"160,000,000"
Block of flats for sale,"  Benson Bus-stop, Ikorodu, Lagos",Added on 27 Jul 2020,4,4,"24,000,000"
4 bedroom semi-detached duplex for sale,"  Orchid Road, Lekki, Lagos",Added on 27 Jul 2020,4,5,"55,000,000"
5 bedroom house for sale,"  Magodo, Lagos",Added on 27 Jul 2020,5,4,"80,000,000"
4 bedroom detached duplex for sale,"  Orchid, Ikota, Lekki, Lagos",Added on 27 Jul 2020,4,4,"73,000,000"
?,"  Orchid, Ikota, Lekki, Lagos",?,4,4,"73,000,000"
4 bedroom detached duplex for sale,"  Port Harcourt, Rivers",Added on 12 Jul 2020,4,4,"700,000,000"
4 bedroom semi-detached duplex for sale,"  Orchid, Lekki, Lagos",Added on 27 Jul 2020,4,4,"55,000,000"
5 bedroom detached duplex for sale,"  Voice Of Nigeria ,airport Road, Lugbe District, Abuja",Added on 08 Jun 2020,5,6,"45,000,000"
4 bedroom house for sale,"  GRA, Magodo, Lagos",Added on 27 Jul 2020,4,4,"55,000,000"
